respo,project,samptype,date8,night,nights,tele_7,survlgth,times,intrace,intgend,s_samptype,s_market,intro3,cell1,qs1,qa1,q921,q1half,dcdir,dcdirnew,q1aq1bnet,mainproblem,bowserappfull,bowsernet,q4_half,h_qord_q4a_q4f_q4a,h_qord_q4a_q4f_q4b,h_qord_q4a_q4f_q4c,h_qord_q4a_q4f_q4d,h_qord_q4a_q4f_q4e,h_qord_q4a_q4f_q4f,bowsercrime,q4anet,bowserhomeless,q4bnet,bowserpandemic,q4cnet,bowserhousing,q4dnet,bowserschools,q4enet,bowsersaferoads,q4fnet,regvoter,regparty,chancevote,h_aord_q7_1,h_aord_q7_2,h_aord_q7_3,q7,h_aord_q8_1,h_aord_q8_2,h_aord_q8_3,q8,mayor22,h_qord_q9a_q9d_q9a,h_qord_q9a_q9d_q9b,h_qord_q9a_q9d_q9c,h_qord_q9a_q9d_q9d,bowserfav,robertwhitefav,trayonwhitefav,mendfav,bowserrestrictions,vaccinemandate,vaccine,ratedcps,ratedcpsnet,parents,kidschool,q15,q14q15net,rateyourdcps,q16net,schoolspandemic,q17net,h_aord_q18_1,h_aord_q18_2,remoteschool,ratepolice,q13bnet,hoodsafe,q19net,crimevictim,q20net,q21_half,h_qord_q21a_q21d_q21a,h_qord_q21a_q21d_q21b,h_qord_q21a_q21d_q21c,h_qord_q21a_q21d_q21d,morepolice,q21anet,violenceinterruptors,q21bnet,econopportunity,q21cnet,gunsentences,q21dnet,homelesscamps,leavedc,leavedcwhere,leavedcfull,leavedcreason,affordhood,q24net,commandersname,q28net,choosename,h_aord_q30_1,h_aord_q30_2,fundfootballstadium,quad,quad2,q909,q909a,edubreak,colleduc,educnew,q910,q910a,agebreak,q918,racenet,income,income2,q29x,l1,c1,phonstat,q924,sex,lang,SITE,INT_Location,weight,allresp,white,age3anew,age50,college,income50,income3,income75,income4,racesex,raceeduc,raceinc,wardnew,kidschoolnet,survey,livedc,wardnew2
13130,29242-1001,LANDLINE RDD,20220209,8th night,13,1758,9.86826666666667,2,White,Female,1,Wash DC,Continue, , ,Yes,Female,Q1a,Wrong track, ,wrong track NET,The coronavirus pandemic,Disapprove SOMEWHAT,disapprove NET,Q4A-Q4C,1,2,3, , , ,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,Poor job,Not-so-good/poor job NET, , , , , , ,"Yes, registered",Democrat,(VOL) DK/No Opinion,Muriel Bowser,Trayon White,Robert White,(VOL) Neither/None,Muriel Bowser,Trayon White,Robert White,(VOL) DK/No Opinion,None,4,1,2,3,Unfavorable,(VOL) DK/No Opinion,(VOL) DK/No Opinion,Favorable,Too many,Oppose,Yes,Not so good,Not-so-good/poor  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,(VOL) DK/No Opinion,DK/No opinion, , , , ,Support,No, ,Would not move, ,Somewhat difficult,Difficult NET,Like it,Like NET,the Commanders,Favor,Oppose,Oppose,Northwest, ,Graduated college,Bachelors degree,some college +,college degree,college degree,77, ,Age 65+,White,white,(VOL) NA/Refused, ,19,"Yes, respondent or someone in household has cell phone", ,Dual Service,female,Female,English,FL,Virtual Call Center,.3450185,All adults,White,Age 65+,50+,College, , , , ,White women,White college, ,3,No kids at home,20210214,10-19 years,Ward 2/3
13171,29242-1001,LANDLINE RDD,20220210,9th night,13,1911,16.3072,2,Black,Female,1,Wash DC,Continue, , ,Yes,Female,Q1a,Wrong track, ,wrong track NET,Crime/violence/guns,Approve STRONGLY,approve NET,Q4A-Q4C,1,3,2, , , ,Excellent job,Excellent/Good job NET,(VOL) DK/No Opinion,DK/No opinion,Good job,Excellent/Good job NET, , , , , , ,"Yes, registered",Democrat,Absolutely certain to vote,Robert White,Trayon White,Muriel Bowser,Muriel Bowser, , , , ,Muriel Bowser,2,4,1,3,Favorable,Unfavorable,Unfavorable,Favorable,Right amount,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,"Would reduce crime, A LOT",Would reduce crime NET,(VOL) DK/No Opinion,DK/No opinion, , , , ,Support,No, ,Would not move, ,Very difficult,Difficult NET,(VOL) DK/No Opinion,DK/No opinion,the Washington Football Team,Oppose,Favor,Favor,Northeast,West,Graduated college,Bachelors degree,some college +,college degree,college degree,75, ,Age 65+,Black,black,50 to under 75 thousand, ,36,"Yes, respondent or someone in household has cell phone", ,Dual Service,female,Female,English,FL,Virtual Call Center,.3464367,All adults,Non-white,Age 65+,50+,College,$50K+,$50-$100K,Income <$75K,$50-$100K,Nonwhite women,Black college, Black $50K+,5,No kids at home,20210214,20+ years,Ward 5/6
13271,29242-1001,LANDLINE RDD,20220211,10th night,13,2004,15.6688,2,White,Male,1,Wash DC,Continue, , ,Yes,Male,Q1b, ,(VOL)  DK/No Opinion,DK/No opinion,No opinion,Approve STRONGLY,approve NET,Q4A-Q4C,3,2,1, , , ,Good job,Excellent/Good job NET,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET, , , , , , ,"No, not registered", , , , , , , , , , , ,2,4,1,3,Favorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Support,Yes,Not so good,Not-so-good/poor  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,1,3,"Would reduce crime, A LOT",Would reduce crime NET, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,Support,Yes,D.C. suburbs,Would move to D.C. Suburbs,Family reasons,Somewhat easy,Easy NET,Like it,Like NET,the Redskins,Oppose,Favor,Oppose,Northeast,West,Graduated high school, ,graduated high school,no college degree,high school or less,62, ,Age 50-64,Black,black,Under 20 thousand dollars, ,20,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,1.0383273,All adults,Non-white,Age 40-64,50+,Non-college,<$50K,<$50K,Income <$75K,<$50K,Nonwhite men,Black non-college,Black <$50K,98,No kids at home,20210214,20+ years,Ward 5/6
13403,29242-1001,LANDLINE RDD,20220210,9th night,13,2004,17.7633333333333,2,Black,Male,1,Wash DC,Continue, , ,Yes,Male,Q1b, ,Right direction,right direction NET,Crime/violence/guns,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,3,2,1, , , , , , ,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,DK/No opinion,"Yes, registered",Democrat,Very likely to vote,Muriel Bowser,Robert White,Trayon White,Muriel Bowser, , , , ,Muriel Bowser,2,3,4,1,Favorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Too many,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,3, ,1,2,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , ,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,No, ,Would not move, ,Somewhat difficult,Difficult NET,Dislike it,Dislike NET,the Washington Football Team,Oppose,Favor,Favor,Southeast,West,Graduated college,Bachelors degree,some college +,college degree,college degree,94, ,Age 65+,Black,black,100 thousand or more,100 to under 150 thousand,Dk/no opinion,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,.3208493,All adults,Non-white,Age 65+,50+,College,$50K+,$100K+,Income $75K+,$100K-$200K,Nonwhite men,Black college, Black $50K+,6,No kids at home,20210214,Don't know,Ward 5/6
13715,29242-1001,LANDLINE RDD,20220210,9th night,13,2032,18.9744333333333,2,Black,Female,1,Wash DC,Continue, , ,Yes,Male,Q1b, ,Wrong track,wrong track NET,Mayor/issues involving mayor,Disapprove STRONGLY,disapprove NET,Q4D-Q4F, , , ,1,2,3, , , , , , ,Not-so-good job,Not-so-good/poor job NET,Poor job,Not-so-good/poor job NET,Poor job,Not-so-good/poor job NET,"Yes, registered",Democrat,Absolutely certain to vote,Robert White,Trayon White,Muriel Bowser,Robert White, , , , ,Robert White,2,4,3,1,Unfavorable,Don't know enough to say,Unfavorable,Favorable,Not enough,Support,Yes,Poor,Not-so-good/poor  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,"Yes, SOMEONE ELSE IN HOUSEHOLD",Household member victim of violent crime in past 5 years NET,Q20B-Q20C ASKED,2,1, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,Would not reduce crime,Would not reduce crime, , , , ,Support,No, ,Would not move, ,Very difficult,Difficult NET,Like it,Like NET,the Redskins,Favor,Oppose,Favor,Northwest, ,Graduated college,Bachelors degree,some college +,college degree,college degree,62, ,Age 50-64,Black,black,20 to under 35 thousand, ,whole life,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,.4492268,All adults,Non-white,Age 40-64,50+,College,<$50K,<$50K,Income <$75K,<$50K,Nonwhite men,Black college,Black <$50K,4,No kids at home,20210214,20+ years,Ward 1/4
13722,29242-1001,LANDLINE RDD,20220209,8th night,13,1712,8.92031666666667,2,Other race,Female,1,Wash DC,Continue, , ,Yes,Female,Q1a,Right direction, ,right direction NET,No opinion,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,2,3,1, , , , , , ,Good job,Excellent/Good job NET,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,DK/No opinion,"Yes, registered",Democrat,Very likely to vote,Robert White,Muriel Bowser,Trayon White,Muriel Bowser, , , , ,Muriel Bowser,2,1,4,3,Favorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Good,Excellent/Good  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,DK/No opinion, , , , ,(VOL) DK/No Opinion,No, ,Would not move, ,Somewhat easy,Easy NET,Dislike it,Dislike NET,(VOL) DK/No Opinion,Favor,Oppose,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,(VOL) Refused,65 or older,Age 65+,White,white,75 to under 100 thousand, ,30,"Yes, respondent or someone in household has cell phone", ,Dual Service,female,Female,English,FL,Virtual Call Center,.3143568,All adults,White,Age 65+,50+,College,$50K+,$50-$100K,Income $75K+,$50-$100K,White women,White college,White $50K+,3,No kids at home,20210214,20+ years,Ward 2/3
13887,29242-1001,LANDLINE RDD,20220205,4th night,13,1649,15.0232666666667,5,White,Male,1,Wash DC,Continue, , ,Yes,Female,Q1a,(VOL)  DK/No Opinion, ,DK/No opinion,Housing costs/low-income housing/more affordable housing,(VOL) DK/No Opinion,DK/No opinion,Q4D-Q4F, , , ,3,1,2, , , , , , ,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,DK/No opinion,"Yes, registered",Democrat,(VOL) DK/No Opinion,Robert White,Trayon White,Muriel Bowser,(VOL) DK/No Opinion,Robert White,Trayon White,Muriel Bowser,(VOL) DK/No Opinion,DK/No Opinion,1,2,3,4,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,(VOL) DK/No Opinion,(VOL) DK/No Opinion,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,DK/No opinion,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,1,3,(VOL) DK/No Opinion,DK/No opinion, , ,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,DK/No opinion,Support,No, ,Would not move, ,(VOL) DK/No Opinion,DK/No opinion,Like it,Like NET,the Commanders,Oppose,Favor,(VOL) DK/No Opinion,Northwest, ,"Some college (ASK IF TECHNICAL SCHOOL; IF YES, PUNCH CODE 3, FOR HIGH SCHOOL)", ,some college +,no college degree,some college,(VOL) Refused,65 or older,Age 65+,Black,black,(VOL) NA/Refused, ,NA/Refused,(VOL) NA/Refused, ,DK/Refused,(VOL) NA/Refused,Female,English,FL,Virtual Call Center,1.6809047,All adults,Non-white,Age 65+,50+,Non-college, , , , ,Nonwhite women,Black non-college, ,1,No kids at home,20210214,Don't know,Ward 1/4
13909,29242-1001,LANDLINE RDD,20220209,8th night,13,1940,13.7159,2,White,Male,1,Wash DC,Continue, , ,Yes,Male,Q1a,Right direction, ,right direction NET,Crime/violence/guns,Approve STRONGLY,approve NET,Q4D-Q4F, , , ,3,2,1, , , , , , ,Excellent job,Excellent/Good job NET,Excellent job,Excellent/Good job NET,Good job,Excellent/Good job NET,"Yes, registered",Democrat,Absolutely certain to vote,Robert White,Trayon White,Muriel Bowser,Muriel Bowser, , , , ,Muriel Bowser,4,1,2,3,Favorable,Unfavorable,Unfavorable,Favorable,Right amount,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Excellent,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,Would not reduce crime,Would not reduce crime,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,Somewhat easy,Easy NET,Like it,Like NET,the Washington Football Team,Favor,Oppose,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,61, ,Age 50-64,White,white,100 thousand or more,100 to under 150 thousand,41,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,1.2183139,All adults,White,Age 40-64,50+,College,$50K+,$100K+,Income $75K+,$100K-$200K,White men,White college,White $50K+,2,No kids at home,20210214,20+ years,Ward 2/3
14008,29242-1001,LANDLINE RDD,20220214,13th night,13,2041,13.2872166666667,4,Black,Female,1,Wash DC,Continue, , ,Yes,Female,Q1a,Wrong track, ,wrong track NET,Crime/violence/guns,Approve STRONGLY,approve NET,Q4D-Q4F, , , ,1,3,2, , , , , , ,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,Not-so-good job,Not-so-good/poor job NET,"Yes, registered",Democrat,Very likely to vote,Robert White,Trayon White,Muriel Bowser,Muriel Bowser, , , , ,Muriel Bowser,2,4,1,3,Favorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Support,Yes,Not so good,Not-so-good/poor  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,1,3,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,Would not reduce crime,Would not reduce crime,Support,No, ,Would not move, ,Somewhat easy,Easy NET,Hate it,Dislike NET,(VOL) Other (Specify),Oppose,Favor,Oppose,Northwest, ,Graduated college,Bachelors degree,some college +,college degree,college degree,73, ,Age 65+,Other race,other,100 thousand or more,100 to under 150 thousand,45,"Yes, respondent or someone in household has cell phone", ,Dual Service,female,Female,English,FL,Virtual Call Center,.2073929,All adults,Non-white,Age 65+,50+,College,$50K+,$100K+,Income $75K+,$100K-$200K,Nonwhite women,Black college, Black $50K+,4,No kids at home,20210214,20+ years,Ward 1/4
14026,29242-1001,LANDLINE RDD,20220208,7th night,13,2056,11.1179833333333,2,Other race,Female,1,Wash DC,Continue, , ,Yes,Male,Q1b, ,(VOL)  DK/No Opinion,DK/No opinion,Poverty/homelessness,(VOL) DK/No Opinion,DK/No opinion,Q4A-Q4C,3,1,2, , , ,(VOL) DK/No Opinion,DK/No opinion,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET, , , , , , ,"Yes, registered",Independent, , , , , , , , , , ,4,2,3,1,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Not enough,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,(VOL) DK/No Opinion,DK/No opinion,Would not reduce crime,Would not reduce crime, , , , ,Oppose,No, ,Would not move, ,Very difficult,Difficult NET,(VOL) DK/No Opinion,DK/No opinion,the Washington Football Team,Favor,Oppose,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,81, ,Age 65+,White,white,Under 20 thousand dollars, ,52,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,.617315,All adults,White,Age 65+,50+,College,<$50K,<$50K,Income <$75K,<$50K,White men,White college,White <$50K,1,No kids at home,20210214,20+ years,Ward 1/4
14169,29242-1001,LANDLINE RDD,20220211,10th night,13,1938,14.4570333333333,3,White,Female,1,Wash DC,Continue, , ,Yes,Male,Q1b, ,Right direction,right direction NET,Race issues/income inequality/gentrification,Approve STRONGLY,approve NET,Q4D-Q4F, , , ,3,2,1, , , , , , ,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,"Yes, registered",Democrat,Very likely to vote,Robert White,Trayon White,Muriel Bowser,Muriel Bowser, , , , ,Muriel Bowser,4,1,2,3,Favorable,Don't know enough to say,Unfavorable,Favorable,Right amount,Support,Yes,Not so good,Not-so-good/poor  NET,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,3,1,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,Would not reduce crime,Would not reduce crime,Oppose,No, ,Would not move, ,Very difficult,Difficult NET,Dislike it,Dislike NET,the Washington Football Team,Oppose,Favor,Oppose,Northeast,East,Graduated high school, ,graduated high school,no college degree,high school or less,72, ,Age 65+,Black,black,(VOL) NA/Refused, ,whole life,"Yes, respondent or someone in household has cell phone", ,Dual Service,female,Female,English,FL,Virtual Call Center,.5715265,All adults,Non-white,Age 65+,50+,Non-college, , , , ,Nonwhite women,Black non-college, ,7,No kids at home,20210214,20+ years,Ward 7/8
14367,29242-1001,LANDLINE RDD,20220209,8th night,13,2040,16.5866333333333,2,White Hispanic,Female,1,Wash DC,Continue, , ,Yes,Male,Q1b, ,Right direction,right direction NET,Crime/violence/guns,Approve SOMEWHAT,approve NET,Q4A-Q4C,1,2,3, , , ,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET, , , , , , ,"Yes, registered",Independent, , , , , , , , , , ,2,1,4,3,Favorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, A LOT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,Very easy,Easy NET,Hate it,Dislike NET,(VOL) Other (Specify),Oppose,Favor,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,66, ,Age 65+,Other race,other,100 thousand or more,200 to under 250 thousand,18,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,.2073929,All adults,Non-white,Age 65+,50+,College,$50K+,$100K+,Income $75K+,$200K+,Nonwhite men,Black college, Black $50K+,3,No kids at home,20210214,10-19 years,Ward 2/3
14744,29242-1001,LANDLINE RDD,20220203,2nd night,13,2108,29.7698833333333,1,Black,Female,1,Wash DC,Continue, , ,Yes,Female,Q1a,Right direction, ,right direction NET,Crime/violence/guns,Approve STRONGLY,approve NET,Q4A-Q4C,3,1,2, , , ,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET,Excellent job,Excellent/Good job NET, , , , , , ,"Yes, registered",Democrat,Very likely to vote,Muriel Bowser,Robert White,Trayon White,(VOL) DK/No Opinion,Muriel Bowser,Robert White,Trayon White,Muriel Bowser,Muriel Bowser,3,2,4,1,Favorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,3, ,1,2,"Would reduce crime, A LOT",Would reduce crime NET, , ,Would not reduce crime,Would not reduce crime,(VOL) DK/No Opinion,DK/No opinion,Support,No, ,Would not move, ,Very difficult,Difficult NET,Hate it,Dislike NET,the Washington Football Team,Oppose,Favor,Favor,Northwest, ,Graduated college,Bachelors degree,some college +,college degree,college degree,68, ,Age 65+,Black,black,50 to under 75 thousand, ,whole life,"Yes, respondent or someone in household has cell phone", ,Dual Service,female,Female,English,FL,Virtual Call Center,.245774,All adults,Non-white,Age 65+,50+,College,$50K+,$50-$100K,Income <$75K,$50-$100K,Nonwhite women,Black college, Black $50K+,4,No kids at home,20210214,20+ years,Ward 1/4
14830,29242-1001,LANDLINE RDD,20220203,2nd night,13,1938,15.7138166666667,1,White,Female,1,Wash DC,Continue, , ,Yes,Female,Q1a,Right direction, ,right direction NET,Housing costs/low-income housing/more affordable housing,Approve STRONGLY,approve NET,Q4D-Q4F, , , ,2,3,1, , , , , , ,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,"Yes, registered",Democrat,Absolutely certain to vote,Trayon White,Muriel Bowser,Robert White,Muriel Bowser, , , , ,Muriel Bowser,3,4,1,2,Favorable,Favorable,Don't know enough to say,Favorable,(VOL) DK/No Opinion,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Excellent,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,1,3,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,Would not reduce crime,Would not reduce crime,Support,No, ,Would not move, ,Very easy,Easy NET,Like it,Like NET,the Washington Football Team,Favor,Oppose,Favor,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,68, ,Age 65+,White,white,100 thousand or more,150 to under 200 thousand,whole life,"Yes, respondent or someone in household has cell phone", ,Dual Service,female,Female,English,FL,Virtual Call Center,.3143568,All adults,White,Age 65+,50+,College,$50K+,$100K+,Income $75K+,$100K-$200K,White women,White college,White $50K+,3,No kids at home,20210214,20+ years,Ward 2/3
14910,29242-1001,LANDLINE RDD,20220209,8th night,13,1839,20.0533,2,White,Female,1,Wash DC,Continue, , ,Yes,Female,Q1b, ,(VOL)  DK/No Opinion,DK/No opinion,Traffic/road quality/parking problems/infrastructure,Approve STRONGLY,approve NET,Q4D-Q4F, , , ,1,2,3, , , , , , ,Excellent job,Excellent/Good job NET,Good job,Excellent/Good job NET,(VOL) DK/No Opinion,DK/No opinion,"Yes, registered",Republican, , , , , , , , , , ,1,2,4,3,Favorable,Don't know enough to say,Don't know enough to say,(VOL) DK/No Opinion,Right amount,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Excellent,Excellent/Good  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,Somewhat easy,Easy NET,(VOL) DK/No Opinion,DK/No opinion,the Washington Football Team,Favor,Oppose,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,91, ,Age 65+,White,white,75 to under 100 thousand, ,85,No, ,Landline Only,female,Female,English,FL,Virtual Call Center,.6533832,All adults,White,Age 65+,50+,College,$50K+,$50-$100K,Income $75K+,$50-$100K,White women,White college,White $50K+,3,No kids at home,20210214,20+ years,Ward 2/3
14939,29242-1001,LANDLINE RDD,20220206,5th night,13,2029,10.34395,2,White,Female,1,Wash DC,Continue, , ,Yes,Male,Q1a,Wrong track, ,wrong track NET,Crime/violence/guns,Disapprove STRONGLY,disapprove NET,Q4A-Q4C,1,2,3, , , ,Poor job,Not-so-good/poor job NET,Poor job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET, , , , , , ,"Yes, registered",Democrat,Absolutely certain to vote,Robert White,Trayon White,Muriel Bowser,(VOL) DK/No Opinion,Robert White,Trayon White,Muriel Bowser,(VOL) DK/No Opinion,DK/No Opinion,4,1,2,3,Unfavorable,Don't know enough to say,Don't know enough to say,Favorable,Right amount,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Poor,Not-so-good/poor  NET,No too safe,not too/not safe at all NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,1,3,"Would reduce crime, A LOT",Would reduce crime NET, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, A LOT",Would reduce crime NET,Support,No, ,Would not move, ,Very difficult,Difficult NET,Dislike it,Dislike NET,the Washington Football Team,Oppose,Favor,Favor,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,75, ,Age 65+,White,white,(VOL) NA/Refused, ,20,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,.2911387,All adults,White,Age 65+,50+,College, , , , ,White men,White college, ,3,No kids at home,20210214,20+ years,Ward 2/3
15008,29242-1001,LANDLINE RDD,20220210,9th night,13,2034,8.56945,2,White Hispanic,Female,1,Wash DC,Continue, , ,Yes,Male,Q1a,Wrong track, ,wrong track NET,Housing costs/low-income housing/more affordable housing,Disapprove STRONGLY,disapprove NET,Q4A-Q4C,1,3,2, , , ,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET, , , , , , ,"Yes, registered",Independent, , , , , , , , , , ,1,3,2,4,Unfavorable,Favorable,Favorable,Don't know enough to say,Right amount,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,Would not reduce crime,Would not reduce crime,"Would reduce crime, A LOT",Would reduce crime NET, , , , ,Oppose,No, ,Would not move, ,Very difficult,Difficult NET,Hate it,Dislike NET,the Washington Football Team,Oppose,Favor,Oppose,Northeast,West,Graduated college,Other,some college +,college degree,college degree,67, ,Age 65+,Black,black,75 to under 100 thousand, ,30,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,.2276215,All adults,Non-white,Age 65+,50+,College,$50K+,$50-$100K,Income $75K+,$50-$100K,Nonwhite men,Black college, Black $50K+,4,No kids at home,20210214,20+ years,Ward 1/4
