id,Weight_PID,xspanish,complete_status,ppage,ppeduc5,ppeducat,ppgender,ppethm,pphhsize,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppstaten,PPWORKA,ppemploy,xparent,Q1_1,Q1_2,Q2,Q3,Q4,Q5,Q6,Q260,Q26a,QPID,ABCAGE,Contact
257000032,1.1595,English,qualified,65,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$25,000 to $49,999",Never married,Metro,MidWest,Owned or being bought by you or someone in your household,Ohio,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,No opinion,Unfavorable,Don’t know,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,An Independent,65+,"No, I am not willing to be interviewed"
257000033,.6546,English,qualified,77,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,NorthEast,Rented for cash,New York,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,A Democrat,65+,"No, I am not willing to be interviewed"
257000034,.4878,English,qualified,68,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",1,"Less than $10,000",Now Married,Metro,MidWest,Rented for cash,Nebraska,Retired,Not working,not parents of children 0-17 YO,No opinion,No opinion,Somewhat serious,Don’t know,Don’t know,Don’t know,Somewhat confident,Jehovah’s Witness,No,Something else,65+,"No, I am not willing to be interviewed"
257000035,.6898,English,qualified,81,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Non-Metro,MidWest,Rented for cash,Minnesota,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not too serious,Should not,Yes,Should not,Not confident at all,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
257000036,.893,English,qualified,41,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",5,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Virginia,Employed part-time (by someone else),Not working,parents of children 0-17 YO,No opinion,Unfavorable,Not serious at all,Should not,Yes,Should not,Not so confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Something else,30-49,"No, I am not willing to be interviewed"
257000037,.5231,English,qualified,72,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Arizona,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Somewhat serious,Don’t know,Yes,Should,Not so confident,Mormon,No,A Republican,65+,"No, I am not willing to be interviewed"
257000038,1.0858,English,qualified,63,Some college or Associate degree,Some college,Male,Hispanic,1,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Texas,Retired,Working full-time,not parents of children 0-17 YO,No opinion,Unfavorable,Somewhat serious,Don’t know,Yes,Should not,Somewhat confident,Catholic,No,An Independent,50-64,"No, I am not willing to be interviewed"
257000039,.7308,English,qualified,49,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",3,"$75,000 to $99,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Not so confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,A Democrat,30-49,"No, I am not willing to be interviewed"
257000040,.8491,English,qualified,76,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Indiana,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Somewhat confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,An Independent,65+,"No, I am not willing to be interviewed"
257000041,.5712,English,qualified,69,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Maryland,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,Jewish, ,A Democrat,65+,"No, I am not willing to be interviewed"
257000042,.6277,English,qualified,74,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",1,"$100,000 to $149,999",Widowed,Metro,West,Owned or being bought by you or someone in your household,Washington,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Somewhat serious,Don’t know,No,Should not,Not so confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,An Independent,65+,"No, I am not willing to be interviewed"
257000043,.8151,English,qualified,55,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Texas,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Somewhat confident,No religion, ,A Democrat,50-64,"Yes, I am willing to be interviewed"
257000044,.6515,English,qualified,69,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Michigan,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Don’t know,Somewhat confident,Catholic,Yes,An Independent,65+,"No, I am not willing to be interviewed"
257000045,.6677,English,qualified,73,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Don’t know,Don’t know,Yes,Don’t know,Not so confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,A Republican,65+,"No, I am not willing to be interviewed"
257000046,1.088,English,qualified,50,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",4,"$150,000 or more",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Ohio,Employed part-time (by someone else),Working part-time,parents of children 0-17 YO,Unfavorable,Favorable,Somewhat serious,Should,No,Should not,Not so confident,No religion, ,A Democrat,50-64,"Yes, I am willing to be interviewed"
257000047,.7383,English,qualified,69,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,Catholic,No,A Republican,65+,"Yes, I am willing to be interviewed"
257000048,.9491,English,qualified,76,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,No opinion,Unfavorable,Very serious,Should,Yes,Should,Not confident at all,Catholic,No,A Republican,65+,"No, I am not willing to be interviewed"
257000049,.871,English,qualified,78,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",1,"$25,000 to $49,999",Never married,Metro,South,Rented for cash,Virginia,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,No religion, ,An Independent,65+,"No, I am not willing to be interviewed"
257000050,.6495,English,qualified,85,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Georgia,Other,Working part-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Don’t know,Don’t know,Yes,Should not,Not so confident,Catholic,No,A Republican,65+,"Yes, I am willing to be interviewed"
257000051,.7104,English,qualified,76,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",1,"$100,000 to $149,999",Now Married,Non-Metro,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Don’t know,Should not,Yes,Should not,Not confident at all,Catholic,No,A Republican,65+,"No, I am not willing to be interviewed"
257000052,.3955,English,qualified,82,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",1,"$50,000 to $74,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,Catholic,No,Something else,65+,"Yes, I am willing to be interviewed"
257000053,.5637,English,qualified,62,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Oregon,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,Don’t know,Should,Somewhat confident,Other Christian religion,No,An Independent,50-64,"No, I am not willing to be interviewed"
257000054,.8154,English,qualified,73,Some college or Associate degree,Some college,Male,"Black, Non-Hispanic",1,"$150,000 or more",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Ohio,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Not too serious,Don’t know,Yes,Should,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,An Independent,65+,"No, I am not willing to be interviewed"
257000055,1.5967,English,qualified,33,Some college or Associate degree,Some college,Female,"Other, Non-Hispanic",4,"$100,000 to $149,999",Separated,Metro,West,Rented for cash,California,Self-employed,Working full-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Somewhat serious,Should,Don’t know,Should,Somewhat confident,Hindu, ,An Independent,30-49,"No, I am not willing to be interviewed"
257000056,1.2142,English,qualified,55,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Iowa,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Somewhat confident,Other Christian religion,Yes,An Independent,50-64,"Yes, I am willing to be interviewed"
257000057,1.029,English,qualified,60,High school graduate (high school diploma or the equivalent GED),High school,Male,"Black, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,An Independent,50-64,"Yes, I am willing to be interviewed"
257000058,1.4343,English,qualified,40,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",4,"$50,000 to $74,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Employed full-time (by someone else),Working part-time,parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Don’t know,Catholic,No,A Republican,30-49,"No, I am not willing to be interviewed"
257000059,.7859,English,qualified,70,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Illinois,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,Catholic,No,A Democrat,65+,"No, I am not willing to be interviewed"
257000060,.5193,English,qualified,45,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Ohio,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,No opinion,Unfavorable,Not serious at all,Don’t know,Yes,Don’t know,Don’t know,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Something else,30-49,"No, I am not willing to be interviewed"
257000061,.6378,English,qualified,76,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Maryland,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should not,Somewhat confident,No religion, ,An Independent,65+,"Yes, I am willing to be interviewed"
257000062,.8017,English,qualified,79,Bachelor’s degree,Bachelors degree or higher,Female,"Other, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,Hawaii,Homemaker,Not working,not parents of children 0-17 YO,Unfavorable,No opinion,Very serious,Should,No,Should,Somewhat confident,Buddhist, ,An Independent,65+,"No, I am not willing to be interviewed"
257000063,.7417,English,qualified,66,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$25,000 to $49,999",Never married,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Self-employed,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Somewhat serious,Should not,Yes,Don’t know,Not confident at all,Jewish, ,An Independent,65+,"Yes, I am willing to be interviewed"
257000064,.6677,English,qualified,57,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Arizona,Other,Not working,not parents of children 0-17 YO,No opinion,No opinion,Don’t know,Should,Don’t know,Should,Don’t know,No religion, ,Something else,50-64,"No, I am not willing to be interviewed"
257000065,.4551,English,qualified,77,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",5,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,Colorado,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Somewhat confident,Other Christian religion,Yes,An Independent,65+,"Yes, I am willing to be interviewed"
257000066,.8075,English,qualified,66,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",3,"$50,000 to $74,999",Now Married,Non-Metro,South,Owned or being bought by you or someone in your household,North Carolina,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Skipped,An Independent,65+,"No, I am not willing to be interviewed"
